symbol,anterior,approximant,back,consonantal,constricted glottis,continuant,coronal,delayed_release,diphthong,distributed,dorsal,front,front-diphthong,high,labial,labiodental,lateral,long,low,nasal,round,segment,sonorant,spread glottis,stress,strident,syllabic,tap,tense,trill,voice
kx,0,-,0,+,-,-,-,+,0,0,+,0,0,+,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,-
l,+,+,0,+,-,+,+,0,0,-,-,0,0,0,-,-,+,-,0,-,-,+,+,-,-,-,-,-,0,-,+
ʟ,0,+,0,+,-,+,-,0,0,0,+,0,0,+,-,-,+,-,-,-,-,+,+,-,-,0,-,-,0,-,+
ɫ,+,+,+,+,-,+,+,0,0,-,+,-,0,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,0,-,+
ɬ,+,-,0,+,-,+,+,+,0,-,-,0,0,0,-,-,+,-,0,-,-,+,-,-,-,-,-,-,0,-,-
ɭ,-,+,0,+,-,+,+,0,0,-,-,0,0,0,-,-,+,-,0,-,-,+,+,-,-,-,-,-,0,-,+
ɮ,+,-,0,+,-,+,+,+,0,-,-,0,0,0,-,-,+,-,0,-,-,+,-,-,-,-,-,-,0,-,+
ʎ,-,+,-,+,-,+,+,0,0,+,+,+,0,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,0,-,+
m,0,-,0,+,-,-,-,0,0,0,-,0,0,0,+,-,-,-,0,+,-,+,+,-,-,0,-,-,0,-,+
ɱ,0,-,0,+,-,-,-,0,0,0,-,0,0,0,+,+,-,-,0,+,-,+,+,-,-,0,-,-,0,-,+
n,+,-,0,+,-,-,+,0,0,-,-,0,0,0,-,-,-,-,0,+,-,+,+,-,-,-,-,-,0,-,+
ɴ,0,-,+,+,-,-,-,0,0,0,+,-,0,-,-,-,-,-,-,+,-,+,+,-,-,0,-,-,0,-,+
ɲ,-,-,-,+,-,-,+,0,0,+,+,+,0,+,-,-,-,-,-,+,-,+,+,-,-,-,-,-,0,-,+
ɳ,-,-,0,+,-,-,+,0,0,-,-,0,0,0,-,-,-,-,0,+,-,+,+,-,-,-,-,-,0,-,+
ŋ,0,-,-,+,-,-,-,0,0,0,+,+,0,+,-,-,-,-,-,+,-,+,+,-,-,0,-,-,0,-,+
o,0,+,+,-,-,+,-,0,-,0,+,-,0,-,+,-,-,-,-,-,+,+,+,-,-,0,+,-,+,-,+
ø,0,+,-,-,-,+,-,0,-,0,+,+,0,-,+,-,-,-,-,-,+,+,+,-,-,0,+,-,+,-,+
œ,0,+,-,-,-,+,-,0,-,0,+,+,0,-,+,-,-,-,-,-,+,+,+,-,-,0,+,-,-,-,+
oʊ,0,+,+,-,-,+,-,0,+,0,+,-,-,-,-,-,-,-,-,-,+,+,+,-,+,0,+,-,+,-,+
ɶ,0,+,-,-,-,+,-,0,-,0,+,+,0,-,+,-,-,-,+,-,+,+,+,-,-,0,+,-,0,-,+
ɔ,0,+,+,-,-,+,-,0,-,0,+,-,0,-,+,-,-,-,-,-,+,+,+,-,-,0,+,-,-,-,+
ɔɪ,0,+,+,-,-,+,-,0,+,0,+,-,+,-,-,-,-,-,-,-,+,+,+,-,+,0,+,-,-,-,+
ɵ,0,+,-,-,-,+,-,0,-,0,+,-,0,-,+,-,-,-,-,-,+,+,+,-,-,0,+,-,+,-,+
p,0,-,0,+,-,-,-,-,0,0,-,0,0,0,+,-,-,-,0,-,-,+,-,-,-,0,-,-,0,-,-
pf,0,-,0,+,-,-,-,+,0,0,-,0,0,0,+,+,-,-,0,-,-,+,-,-,-,0,-,-,0,-,-
pɸ,0,-,0,+,-,-,-,+,0,0,-,0,0,0,+,-,-,-,0,-,-,+,-,-,-,0,-,-,0,-,-
pt,+,-,0,+,-,-,+,-,0,-,-,0,0,0,+,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,-
ɸ,0,-,0,+,-,+,-,+,0,0,-,0,0,0,+,-,-,-,0,-,-,+,-,-,-,0,-,-,0,-,-
q,0,-,+,+,-,-,-,-,0,0,+,-,0,-,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,-
qχ,0,-,+,+,-,-,-,+,0,0,+,-,0,-,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,-
r,+,+,0,+,-,+,+,0,0,-,-,0,0,0,-,-,-,-,0,-,-,+,+,-,-,-,-,-,0,+,+
ʀ,0,+,+,+,-,+,-,0,0,0,+,-,0,-,-,-,-,-,-,-,-,+,+,-,-,0,-,-,0,+,+
ɹ,-,+,0,-,-,+,+,0,0,+,-,0,0,0,-,-,-,-,0,-,-,+,+,-,-,-,-,-,0,-,+
ɺ,+,+,0,+,-,+,+,0,0,-,-,0,0,0,-,-,+,-,0,-,-,+,+,-,-,-,-,+,0,-,+
ɻ,-,+,0,+,-,+,+,0,0,-,-,0,0,0,-,-,-,-,0,-,-,+,+,-,-,-,-,-,0,-,+
ɽ,-,+,0,+,-,+,+,0,0,-,-,0,0,0,-,-,-,-,0,-,-,+,+,-,-,-,-,+,0,-,+
ɾ,+,+,0,+,-,+,+,0,0,-,-,0,0,0,-,-,-,-,0,-,-,+,+,-,-,-,-,+,0,-,+
ʁ,0,-,+,+,-,+,-,+,0,0,+,-,0,-,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,+
s,+,-,0,+,-,+,+,+,0,-,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,-
ʂ,-,-,0,+,-,+,+,+,0,-,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,-
ʃ,-,-,0,+,-,+,+,+,0,+,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,-
t,+,-,0,+,-,-,+,-,0,-,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,-,-,-,0,-,-
tɕ,+,-,-,+,-,-,+,+,0,+,+,+,0,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,0,-,-
tɬ,+,-,0,+,-,-,+,+,0,-,-,0,0,0,-,-,+,-,0,-,-,+,-,-,-,-,-,-,0,-,-
ts,+,-,0,+,-,-,+,+,0,-,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,-
tʃ,-,-,0,+,-,-,+,+,0,+,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,-
tθ,+,-,0,+,-,-,+,+,0,+,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,-,-,-,0,-,-
ʈ,-,-,0,+,-,-,+,-,0,-,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,-,-,-,0,-,-
ʈʂ,-,-,0,+,-,-,+,+,0,-,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,-
u,0,+,+,-,-,+,-,0,-,0,+,-,0,+,+,-,-,-,-,-,+,+,+,-,-,0,+,-,+,-,+
ʉ,0,+,-,-,-,+,-,0,-,0,+,-,0,+,+,-,-,-,-,-,+,+,+,-,-,0,+,-,+,-,+
ɥ,0,+,-,-,-,+,-,0,0,0,+,+,0,+,+,-,-,-,-,-,+,+,+,-,-,0,-,-,+,-,+
ɯ,0,+,+,-,-,+,-,0,-,0,+,-,0,+,-,-,-,-,-,-,-,+,+,-,-,0,+,-,+,-,+
ɰ,0,+,0,-,-,+,-,0,0,0,+,0,0,+,-,-,-,-,-,-,-,+,+,-,-,0,-,-,+,-,+
ʊ,0,+,+,-,-,+,-,0,-,0,+,-,0,+,+,-,-,-,-,-,+,+,+,-,-,0,+,-,-,-,+
v,0,-,0,+,-,+,-,+,0,0,-,0,0,0,+,+,-,-,0,-,-,+,-,-,-,0,-,-,0,-,+
ʋ,0,+,0,-,-,+,-,0,0,0,-,0,0,0,+,+,-,-,0,-,-,+,+,-,-,0,-,-,0,-,+
ʌ,0,+,+,-,-,+,-,0,-,0,+,-,0,-,-,-,-,-,-,-,-,+,+,-,-,0,+,-,-,-,+
w,0,+,+,-,-,+,-,0,0,0,+,-,0,+,+,-,-,-,-,-,+,+,+,-,-,0,-,-,+,-,+
ʍ,0,-,+,-,-,+,-,+,0,0,+,-,0,+,+,-,-,-,-,-,+,+,-,+,-,0,-,-,+,-,-
x,0,-,0,+,-,+,-,+,0,0,+,0,0,+,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,-
y,0,+,-,-,-,+,-,0,-,0,+,+,0,+,+,-,-,-,-,-,+,+,+,-,-,0,+,-,+,-,+
ʏ,0,+,-,-,-,+,-,0,-,0,+,+,0,+,+,-,-,-,-,-,+,+,+,-,-,0,+,-,-,-,+
z,+,-,0,+,-,+,+,+,0,-,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,+
ʐ,-,-,0,+,-,+,+,+,0,-,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,+
ʑ,+,-,-,+,-,+,+,+,0,+,+,+,0,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,0,-,+
ʒ,-,-,0,+,-,+,+,+,0,+,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,+
ʔ,0,-,0,+,+,-,-,-,0,0,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,0,-,-,0,-,-
ʕ,0,-,+,+,-,+,-,-,0,0,+,-,0,-,-,-,-,-,+,-,-,+,-,-,-,0,-,-,0,-,+
β,0,-,0,+,-,+,-,+,0,0,-,0,0,0,+,-,-,-,0,-,-,+,-,-,-,0,-,-,0,-,+
θ,+,-,0,+,-,+,+,+,0,+,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,-,-,-,0,-,-
χ,0,-,+,+,-,+,-,+,0,0,+,-,0,-,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,-
